title,article,published,article_id,question_1,question_2
Krigsforskare: Risken för storkrig inte överhängande,"Risken för att kriget i Ukraina ska växa till ett storkrig mellan Ryssland och Nato är ”inte överhängande” även om den är större än för ett år sedan. Det bedömer Oscar Jonsson, forskare vid Försvarshögskolan och expert på rysk krigföring, i en intervju med SvD. Detta sedan både Natochefen Jens Stoltenberg och Sveriges ÖB Micael Bydén pekat på risken för upptrappning.Enligt Jonsson pekar mycket lite på att Ryssland i dagsläget har kapacitet att gå i krig med Nato och landet tycks redan ha gjort av med betydligt mer vapen och ammunition än planerat. Han säger också att det mesta tyder på att båda sidor gör allt de kan för att undvika en eskalerad konflikt. – Eskalering sker sällan av sig självt. Det krävs två sidor som är beredda på det för att en upptrappning ska kunna ske, säger Jonsson. ",2023-01-11T23:01:09Z,15j6eJ,Vad säger Oscar Jonsson om risken för ett storkrig mellan Ryssland och Nato?,Vad krävs för att en upptrappning av konflikten ska kunna ske?
Baudin bekräftar: Beskedet om Nato kommer på söndag,"Socialdemokraterna lämnar sitt slutgiltiga besked om Nato på söndag den 15 maj, vilket är en dag efter att Finland ger sitt besked. Det bekräftar partisekreterare Tobias Baudin, enligt SVT Nyheter.S har länge varit emot ett svenskt medlemskap, men till följd av den ryska invasionen av Ukraina har partiet påbörjat en ny säkerhetspolitisk analys. Under veckan ska frågan diskuteras i partiet – och beslutet om Sveriges framtid meddelas alltså på söndag.Samtliga högerpartier vill gå med i Nato. Av riksdagspartierna är det endast Miljöpartiet och Vänsterpartiet som bestämt säger nej till försvarsalliansen.",2022-05-09T06:45:47Z,ALngEz,När lämnar Socialdemokraterna sitt slutgiltiga besked om Nato?,Vilka svenska partier säger nej till ett svenskt medlemskap i Nato?
Ryssland kovänder: Betalar försenade skulder i dollar ,"Ryssland verkar med nöd och näppe ha undgått att hamna på ekonomiskt obestånd på fredagen efter att landet hävdat att de gjort två försenade inbetalningar på dollarobligationer. Ryssland har tidigare hotat med att betala skulderna i rubel, något som stoppats av väst.Det trots att ryska centralbanken tidigare varnat för en ”kolossal osäkerhet” i ekonomin, rapporterar Financial Times. Enligt landets finansminister har betalningarna på sammanlagt 649 miljoner dollar skickats till Citigroup, banken som är ansvarig för att föra pengarna vidare. – Finansdepartementet har resurserna och från en ekonomisk vinkel kan det inte bli tal om någon betalningsinställelse, säger centralbankschef Elvira Nabiullina men lägger till att Ryssland har svårigheter med betalningar. ",2022-04-29T16:50:02Z,wO2KW4,Vad har Ryssland hotat med att betala skulderna i?,Vad säger centralbankschef Elvira Nabiullina om Rysslands ekonomi?
Expert: Sanktioner kommer påverka oss under lång tid,"Kriget i Ukraina kommer att få ett slut men sanktionerna fortsätter – nu är vi i en fas av att försöka förstå vad detta innebär framöver. Det säger Alpcots allokeringschef Jonas Olavi i senaste avsnittet av podden Börssnack.– Ryssland är en väldigt liten ekonomi, men de är stora på råvarusidan och det kommer att påverka oss. Till exempel genom höga energipriser, höga matpriser, under en ganska lång tid, säger Olavi.Det betyder att Fed kommer att behöva anpassa sig till både lönedriven inflation och prisvaruinflation och ”det är en jätteknivig situation” som riskerar att påverka tillväxten negativt, säger han.Podkollegan och analytikern Erik Hansén påpekar att det inte bara är invasionen av Ukraina som gör att börsen går knackigt i år. Att Fed behöver strama åt och att tillväxten avtar är också viktiga faktorer, säger han.",2022-03-13T15:48:12Z,Ea9bXo,Vad säger Alpcots allokeringschef Jonas Olavi om hur Rysslands ekonomi kan påverka oss?,Vad säger podkollegan Erik Hansén om vad som påverkar börsen i år?
Ryssland inför Moskvatid i annekterade regioner,"Ryssland tänker införa Moskva-tid i delar av de regioner i östra Ukraina som landet i strid med internationell lagstiftning har annekterat, rapporterar Washington Post. Ryssland har sedan tidigare börjat utfärda ryska pass och infört rysk valuta i regionerna.Tidsomställningen skulle inbära att klockan flyttas fram en timme för att hamna på samma tid som Moskva. Det framgår inte när omställningen ska ske. Men eftersom Ukraina till skillnad från Ryssland använder omställning till sommartid så kommer klockorna i hela Ukraina oavsett att vridas fram en timme 26 mars.",2023-01-27T20:30:08Z,P4j0pR,Vad tänker Ryssland införa i delar av de regioner i östra Ukraina som landet har annekterat?,Vad innebär tidsomställningen som Ryssland tänker införa?
Ukraina: Nästan 9 000 av våra soldater dödade,"Nästan 9 000 ukrainska soldater har dödats sedan Rysslands invasion inleddes, uppger landets ÖB Valerij Zaluzjnyj enligt AFP. Det är den första siffran som Kyiv angett sedan april.Han tillägger att landets barn behöver särskild uppmärksamhet i nuläget ”eftersom deras fäder rest till fronten och kanske är bland de nästan 9 000 hjältar som dödats”.Kreml har inte rapporterat någon siffra för antalet döda ryska soldater sedan i mars, då de angav 1 351. Enligt bland andra Ukraina, USA och Storbritannien rör det sig snarare om tiotusentals.",2022-08-22T14:44:05Z,eE24oO,Hur många ukrainska soldater har dödats sedan Rysslands invasion inleddes?,"Vad säger Ukraina, USA och Storbritannien om antalet döda ryska soldater?"
Försvarsmakten ”glasklara” – kränkning inte skäl för oro,"Försvarsmakten har en ”mycket säker bild” av den ryska kränkningen av svenskt luftrum utanför Gotland i början av mars, men har en policy av att aldrig kommentera vilken beväpning utländska stridsflyg bär på. Det säger Daniel Olsson, ställföreträdande chef för Försvarsmaktens underrättelseenhet, till DN. – Jag vill vara glasklar med att det inte finns någonting i den här kränkningen den 2 mars som innebär att vi skulle se en ökad hotbild mot Sverige eller skäl till en ökad oro, säger han till tidningen. Uttalandet kommer sedan TV4 under onsdagen, med hänvisning till källuppgifter, rapporterat att två av de fyra ryska planen var bestyckade med kärnvapen. Som en ”generell kommentar” säger Olsson att det är viktigt att tänka på att kärnvapenuppgifter kan användas för psykologisk påverkan. ",2022-03-31T15:17:36Z,JxAEe4,Vilken policy har Försvarsmakten angående kommentarer om utländska stridsflygs beväpning?,Vad säger Daniel Olsson om hotbilden mot Sverige efter den ryska kränkningen av svenskt luftrum?
Natochefen: Har pratat med turkiske ministern,"Natos generalsekreterare Jens Stoltenberg skriver på Twitter att han samtalat med Turkiets utrikesminister Mevlüt Cavusoglu, gällande Sveriges och Finlands ansökningar. Detta efter att president Recep Tayyip Erdogan tidigare i dag sagt att Turkiet inte tänker godkänna ansökningarna. I tweeten beskriver han Turkiet som en värdefull allierad och han anser att ”alla säkerhetsfrågor måste lösas”. Han går inte närmare in på vad som sades i samtalet med den turkiske ministern. “Vi måste stå tillsammans i denna historiska stund”, skriver Stoltenberg. ",2022-05-16T20:27:21Z,5G78vb,Vem har Jens Stoltenberg samtalat med angående Sveriges och Finlands ansökningar?,Vad skriver Jens Stoltenberg på Twitter om Turkiet?
Pentagon simulerar rysk kärnvapenattack – tror att Putin ser stora risker,"Taktiska kärnvapen är svåra att använda, svåra att kontrollera och passar bättre i terror- och skrämselsyfte än i ett krig – något som Vladimir Putin sannolikt håller på att inse, säger amerikanska källor till New York Times.USA:s bild är att riskerna sannolikt är större än fördelarna för Putin. Genom att använda kärnvapen skulle Ryssland riskera att bli en total pariastat och länder som Kina och Indien kan vända sig mot Putin. Dessutom kan strålningen efter en kärnvapenattack i Ukraina blåsa in i Ryssland.Pentagon har i månader genomfört simuleringar av hur en attack skulle kunna gå till och hur USA skulle svara. Resultaten varierar dock dramatiskt, beroende på om Putin väljer att attackera en avlägsen militärbas, en mindre stad eller nöjer sig med att detonera en kärnvapenspets över Svarta havet, säger en källa med insyn.",2022-10-04T09:31:41Z,8JQxBx,Varför passar taktiska kärnvapen bättre i terror- och skrämselsyfte än i ett krig enligt amerikanska källor?,Vad har Pentagon genomfört simuleringar av angående kärnvapenattack från Ryssland?
"Navalnyj: ”Ryssar, gå ut och protestera mot kriget”","Den ryske, fängslade oppositionskritikern Aleksej Navalnyj uppmanar sina landsmän till dagliga protester mot kriget i Ukraina. Det skriver hans talesperson på Twitter.”Aleksej Navalnyj manar folket att gå ut och protestera mot kriget varje veckodag klockan 19 och varje helgdag klockan 14. På torgen i era städer, var ni än är”, skriver talespersonen Kira Yarmush på Twitter.",2022-03-02T10:36:41Z,pW5n8j,Vad uppmanar Aleksej Navalnyj sina landsmän att göra?,Vad skriver talespersonen Kira Yarmush på Twitter?
Ryska förmågan ifrågasätts efter fiasko i Vuhledar – hel elitbrigad förlorad,"Den ryska stridsförmågan är starkt ifrågasatt efter den senaste tidens fiaskoartade insatser i striderna om staden Vuhledar, skriver New York Times.Rapporter från slagfältet gör gällande att Ryssland förlorat en hel elitbrigad och att en annan blivit kraftigt decimerad. Enligt ukrainska uppskattningar förlorade ryssarna 130 militärfordon, däribland 36 stridsvagnar, under bara en vecka.De stora förlusterna i Vuhledar visar på cynismen hos den ryska ledningen, säger den brittiske försvarsministern Ben Wallace.– Antingen så lever presidenten och militärledningen inte i verkligheten, eller så struntar man i den. Eller så bryr man sig helt enkelt inte om hur många av deras egna medborgare som skickas till döden, för att inte tala om folket de försöker förtrycka, säger han.",2023-02-16T06:53:50Z,5BRz8e,Vad visar de senaste förlusterna i striderna om staden Vuhledar på?,Vad säger den brittiske försvarsministern Ben Wallace om den ryska ledningen?
Ökat intresse för att skicka förnödenheter till Ukraina,"Inför vintern märker Postnord av ett tydligt ökat intresse för att donera förnödenheter till Ukraina, rapporterar Mitt i.Allra mest skänktes i april, säger Postnords talesperson Henrik Ishihara. Då kördes 2 800 ”burar” till Ukraina. Därefter har intresset minskat successivt och första veckan i oktober var samma siffra 122. Men i första veckan av november märks ett tydligt uppsving. 203 kartonger skickades.– I många områden har man varken el eller vatten. Det blir en tuff vinter och jul i Ukraina, säger Alyona Kashyna, talesperson för hjälporganisationen Nordic Ukraine Forum.",2022-11-10T04:46:09Z,wAgwbn,Vad märker Postnord av inför vintern?,Vad säger Alyona Kashyna om situationen i Ukraina?
USA varnar för upptrappade ryska attacker mot civila,"Ryssland planerar att intensifiera sin beskjutning mot civil infrastruktur och regeringsbyggnader de kommande dagarna, uppger USA:s utrikesdepartement som har gått ut med en säkerhetsvarning. Larmet bygger på underrättelseuppgifter.Departementet varnar alla amerikaner som fortfarande befinner sig i Ukraina att lämna landet omedelbart.”Med tanke på Rysslands tidigare agerande i Ukraina oroas vi att det fortsatta hotet mot civila och civil infrastruktur”, heter det.Sök genast skydd om du hör en hög explosion eller sirener som aktiveras, uppmanar departementet.",2022-08-23T03:42:46Z,rE0J20,Vad planerar Ryssland att göra de kommande dagarna enligt USA:s utrikesdepartement?,Vad uppmanar departementet amerikaner som befinner sig i Ukraina att göra?
Slaget om Mariupol över – soldater evakueras efter veckor i stålverkets tunnlar,"Över 260 ukrainska soldater som befunnit sig i det attackerade stålverket Azovstal i Mariupol har lämnat platsen under måndagen, rapporterar flera medier.Enligt Ukrainas vice försvarsminister Hanna Maljar har 53 svårt skadade soldater förts till sjukhus i den ryskkontrollerade staden Novoazovsk samt ytterligare 211 till en annan närliggande stad. De kommer senare att växlas mot ryska krigsfångar.– Jag vill understryka: Ukraina behöver sina ukrainska hjältar vid liv. Det är vår princip, säger president Volodymyr Zelenskyj i en videokommentar.I ett uttalande natten mot tisdagen uppger ukrainsk militär att de ”avslutat sitt stridsuppdrag"" i den belägrade hamnstaden, skriver CNN. ""Mariupols försvarare är vår tids hjältar. De kommer för alltid att vara nedtecknade i historien.”Under tisdagen ska de sista soldaterna evakueras från stålverket, uppger Ukraina enligt Reuters.",2022-05-16T20:18:00Z,pWR14X,Vad har över 260 ukrainska soldater gjort under måndagen?,Vad säger Ukrainas vice försvarsminister Hanna Maljar om de skadade soldaterna?
Fifas beslut står fast – Ryssland stängs av från VM,"Idrottens skiljedomstol (Cas) avslår Rysslands förfrågan om att tillfälligt häva landets avstängning från fotbollsspel, enligt nyhetsbyrån AP. Beslutet innebär att det ryska landslaget inte kommer att få spela play-off till VM i Qatar nästa månad.Radiosportens expert Rikard Henriksson kallar beslutet ”närmast unikt”.– Ryssland hade nog stora förhoppningar på att beslutet skulle upphävas av domstolen, säger han i Ekots livesändning.De övriga lagen i play off-gruppen, däribland Sverige, hade på förhand sagt att man vägrade möta Ryssland. ",2022-03-18T09:19:08Z,z7yW71,Vad avslår Idrottens skiljedomstol (Cas) angående Rysslands avstängning från fotbollsspel?,Vad säger Radiosportens expert Rikard Henriksson om beslutet?
Ryssland: Ny explosion på Krymhalvön,"En explosion har inträffat vid en ammunitionsdepå på den ryskockuperade Krymhalvön. Det uppger det ryska försvarsdepartementet, enligt TT.Enligt departementet uppkom en brand i ett militärt lager nära byn Mayskoje vid kvart över sex lokal tid. Därefter skedde explosionen, säger man.Händelsen sker en vecka efter de kraftiga explosionerna vid den ryska flygbasen Saky på Krym. Enligt satellitbilder förstördes en rad ryska stridsflygplan i explosionerna.",2022-08-16T09:15:20Z,eE2z8O,Vad orsakade explosionen på Krymhalvön?,Vad hände en vecka innan explosionen på Krymhalvön?
Zelenskyj har bjudit in Andersson till Ukraina,"Statsminister Magdalena Andersson (S) har under onsdagen talat med Ukrainas president Volodymyr Zelenskyj, skriver båda två på Twitter.  Andersson beskriver det som ett viktigt samtal där hon uttryckte Sveriges stöd för Ukraina under den ryska invasionen, och ”fullt stöd” till att Ukraina ska få status som EU-kandidat. Zelenskyj skriver att han bjudit in Andersson till Ukraina. Det framgår inte hur statsministern svarat på inbjudan. Andersson har hittills inte besökt landet sedan den fullskaliga invasionen inleddes i slutet av februari. ",2022-06-22T13:31:50Z,x8qqnG,Vad uttryckte Magdalena Andersson för Ukrainas president?,Har Magdalena Andersson besökt Ukraina sedan invasionen inleddes?
80 000 ukrainare tros söka skydd i Sverige under 2022,"Hittills har 34 400 ukrainare ansökt om skydd i Sverige sedan krigsstarten, säger integrations- och migrationsminister Anders Ygeman (S) under en pressträff.– Vi ser att det har varit en avmattning i Putins krig i Ukraina och att det också har skett en avmattning i antalet personer som flyr till Europa, säger Ygeman, som också säger att det har skett en viss återvandring till Ukraina.Det nuvarande huvudscenariot är att 80 000 personer kommer att söka skydd i Sverige under 2022, meddelar Migrationsverkets generaldirektör Mikael Ribbenvik. Det tidigare huvudscenariot var 76 000 personer, men den bedömningen gällde bara fram till halvårsskiftet.– Även om det är en ökning kan man nog se det som en minskning, säger Ribbenvik om den nya prognosen.Något som sticker ut från tidigare flyktingkriser är att Sveriges nordiska grannar har tagit emot fler flyktingar från Ukraina per capita än Sverige, enligt Ribbenvik. Även Tyskland och Portugal har tagit emot många flyktingar.",2022-04-27T06:52:33Z,v52OX5,Hur många ukrainare har ansökt om skydd i Sverige sedan krigsstarten?,Vilka länder har tagit emot fler flyktingar från Ukraina per capita än Sverige?
Experter: Inga garantier för militärt stöd vid invasion,"Inget annat land är skyldigt att bistå Sverige med trupper – om Sverige skulle bli angripet av främmande makt, skriver SVT Nyheter som granskat 18 av Sveriges försvarsavtal.I EU:s försvarsklausul står det att länderna ska hjälpa en angripen medlemsstat ”med alla till buds stående medel”, men enligt experter skulle det främst handla om pengar och vapen. Enligt Magnus Christiansson, universitetslektor på Försvarshögskolan, har Sveriges samarbete med USA ett avskräckande syfte.– Varje gång amerikanska styrkor finns i Sverige så sänder det en skarpare signal till Ryssland om vänskap mellan Sverige och USA, säger han till SVT.",2022-03-23T09:43:42Z,V93aGr,Vad står det i EU:s försvarsklausul?,Vad är syftet med Sveriges samarbete med USA enligt Magnus Christiansson?
Zelenskyj kritiseras för att inte ha varnat sitt folk,"Ukrainas president Volodymyr Zelenskyj möter kritik på hemmaplan efter några kommentarer han gett till Washington Post om hur han valde att agera på USA:s underrättelseinformation innan invasionen.I intervjun förklarade Zelenskyj att han inte berättade om USA:s starka varningar om en invasion eftersom han inte ville skapa panik och massflykt från landet.– Om jag hade kommunicerat det ... då hade vi förlorat sju miljarder dollar per månad sedan förra oktober, och när Ryssland hade attackerat hade de tagit oss på tre dagar, sa han.Uttalandet splittrar det ukrainska folket. Å ena sidan finns det de som menar att Zelenskyj var rädd för att förlora makten och att han har civilas blod på sina händer. Å andra sidan finns det de som menar att alla kunde ta del av USA:s varningar i media. Många undrar även varför inte fler åtgärder vidtogs innan kriget utbröt – varför inte skyttegravar grävdes och varför inte blodbanker upprättades.USA varnade ett flertal gånger om att Ryssland skulle invadera Ukraina. Landet ska ha känt till Vladimir Putins planer redan i oktober.",2022-08-19T04:31:57Z,wOM04L,Vad måste EU göra för att minska beroendet av rysk energi?,Vilken energisektor tror Patric Lindqvist kommer att ta en större del av kakan?
Förvaltare om omställningen: Sol tar större del av kakan ,"När EU vill minska beroendet av den ryska energin måste investeringarna i förnybart öka. Det kan ge en skjuts för sektorn och bolag som är verksamma inom bland annat vind- och solkraft, säger Patric Lindqvist, förvaltare på Handelsbanken, i EFN Marknad. Han påpekar dock att det är viktigt att komma ihåg att komplettera flera olika energityper med varandra. Men i framtiden är förvaltaren mest positivt inställd till solsektorn. – När det gäller sol, så tror jag att det kommer att ta en större del av kakan. Av kostnadsskäl, det är kostnadsmässigt effektivt, säger Lindqvist i programmetLindqvist nämner en rad bolag som gynnas av omställningen, bland annat Nibe, Smartwire och Powercell.",2022-03-27T05:52:30Z,x8vjLX,Vilka bolag nämner Patric Lindqvist som kan gynnas av omställningen till förnybar energi?,Varför tror Patric Lindqvist att solsektorn kommer att ta en större del av kakan när det gäller förnybar energi?
Svansjön slutdansad – då drog ukrainska ballerinan ut i krig,"När kriget kom till Ukraina tvekande Olesia Vorotnyk inte ett ögonblick över om hon borde byta ut sina tåspetsskor mot en Ak-47:a.I en lång intervju med The Economist berättar den 30-åriga balettdansösen om hur hon i vintras lämnade sin prestigefyllda plats på nationaloperan i Kyiv för att istället kämpa för sitt lands frihet och kultur, och varför Svansjön nu är slutdansad i Ukraina.Men framförallt beskriver hon likheterna mellan baletten och militären. ",2022-07-04T10:16:06Z,5Gx29e,Vad beskriver Olesia Vorotnyk likheterna mellan?,Vad lämnade Olesia Vorotnyk sin plats på nationaloperan i Kyiv för att göra?
Marianna tros ha förts bort – syns i Kremlvänlig media,"Gravida Marianna blev en symbol för våldet när bilden på henne utanför det bombade sjukhuset i Mariupol spreds över hela världen – nu tros hon ha förts bort till Ryssland eller en separatistkontrollerad del av Donetsk, skriver Sky News.I en video som publicerats av en Kremlvänlig mediekanal påstår Marianna felaktigt att sjukhuset inte utsatts för en luftattack, och att ukrainska soldater använde sig av lokalerna.Christo Grozev, undersökande journalist i det grävande journalistnätveket Bellingcat, twittrar om videon som just nu sprids av Kremlvänliga konton. ”Kreml: ’Vi bombade förlossningssjukhuset för att det var ett rekryteringscenter för Azov. Men vi bombade det inte, det gjorde ukrainare. Dessutom fanns inga gravida kvinnor, bara skådespelare. Men här är den gravida kvinna”, skriver han.",2022-04-03T03:45:35Z,x8jObG,Vad påstår Marianna felaktigt i videon som sprids av en Kremlvänlig mediekanal?,Vad skriver Christo Grozev om videon som sprids av Kremlvänliga konton?
